Date Added to Catalog	PUBMEDID	First Author	Date	Journal	Link	Study	Disease/Trait	Initial Sample Size	Replication Sample Size	Region	Chr_id	Chr_pos	Reported Gene(s)	Mapped_gene	Upstream_gene_id	Downstream_gene_id	Snp_gene_ids	Upstream_gene_distance	Downstream_gene_distance	Strongest SNP-Risk Allele	SNPs	Merged	Snp_id_current	Context	Intergenic	Risk Allele Frequency	p-Value	Pvalue_mlog	p-Value (text)	OR or beta	95% CI (text)	Platform [SNPs passing QC]	CNV
08/12/2011	21757653	Lovely RS	07/14/2011	Arterioscler Thromb Vasc Biol	http://www.ncbi.nlm.nih.gov/pubmed/21757653	Assessment of genetic determinants of the association of &#x003b3;' fibrinogen in relation to cardiovascular disease.	Fibrinogen	3,042 European ancestry individuals	NR	4q31.3	4	155451759	PLRG1	DCHS2 - PLRG1	54798	5356		       38.83	        5.90	rs12511469-A	rs12511469	0	12511469	Intergenic	2	0.19	2E-36	35.69897000433601		    .18	[0.15-0.21] g/L decrease	Affymetrix [~2.5 million] (imputed)	N
08/12/2011	21757653	Lovely RS	07/14/2011	Arterioscler Thromb Vasc Biol	http://www.ncbi.nlm.nih.gov/pubmed/21757653	Assessment of genetic determinants of the association of &#x003b3;' fibrinogen in relation to cardiovascular disease.	Fibrinogen	3,042 European ancestry individuals	NR	4q31.3	4	155301059	DCHS2	DCHS2			54798			rs12651106-A	rs12651106	0	12651106	intron	1	0.17	2E-12	11.69897000433602		    .14	[0.10-0.18] g/L decrease	Affymetrix [~2.5 million] (imputed)	N
08/12/2011	21757653	Lovely RS	07/14/2011	Arterioscler Thromb Vasc Biol	http://www.ncbi.nlm.nih.gov/pubmed/21757653	Assessment of genetic determinants of the association of &#x003b3;' fibrinogen in relation to cardiovascular disease.	Fibrinogen	3,042 European ancestry individuals	NR	4q31.3	4	155483914	FGB	FGB			2244			rs1800788-T	rs1800788	0	1800788	nearGene-5	1	0.20	1E-39	38.99999999999999		    .19	[0.16-0.22] g/L decrease	Affymetrix [~2.5 million] (imputed)	N
08/12/2011	21757653	Lovely RS	07/14/2011	Arterioscler Thromb Vasc Biol	http://www.ncbi.nlm.nih.gov/pubmed/21757653	Assessment of genetic determinants of the association of &#x003b3;' fibrinogen in relation to cardiovascular disease.	Fibrinogen	3,042 European ancestry individuals	NR	4q31.3	4	155507590	FGA	FGA			2243			rs6050-C	rs6050	0	6050	missense	1	0.24	9E-90	89.04575749056066		    .26	[0.23-0.29] g/L decrease	Affymetrix [~2.5 million] (imputed)	N
08/12/2011	21757653	Lovely RS	07/14/2011	Arterioscler Thromb Vasc Biol	http://www.ncbi.nlm.nih.gov/pubmed/21757653	Assessment of genetic determinants of the association of &#x003b3;' fibrinogen in relation to cardiovascular disease.	Fibrinogen	3,042 European ancestry individuals	NR	4q31.3	4	155542248	FGG	FGG - LRAT	2266	9227		        8.35	      122.92	rs7681423-T	rs7681423	0	7681423	Intergenic	2	0.23	1E-109	109		    .29	[0.26-0.32] g/L decrease	Affymetrix [~2.5 million] (imputed)	N
08/15/2011	21779381	Schurks M	07/14/2011	PLoS One	http://www.ncbi.nlm.nih.gov/pubmed/21779381	Genetic determinants of cardiovascular events among women with migraine: a genome-wide association study.	Cardiovascular disease risk factors	5,122 European ancestry women migraineurs	NR	20q13.33	20	61895920	Intergenic	FLJ16779 - ARFGAP1	100192386	55738		        2.95	        8.25	rs1406961-?	rs1406961	0	1406961	Intergenic	2	NR	5E-7	6.30102999566398	(migraineurs with aura - CVD death)	  12.33	[4.62-32.87] 	Illumina [339,596]	N
08/15/2011	21779381	Schurks M	07/14/2011	PLoS One	http://www.ncbi.nlm.nih.gov/pubmed/21779381	Genetic determinants of cardiovascular events among women with migraine: a genome-wide association study.	Cardiovascular disease risk factors	5,122 European ancestry women migraineurs	NR	6p21.1	6	41623033	MDF1	MDFI - TFEB	4188	7942		        1.05	       28.68	rs2143678-?	rs2143678	0	2143678	Intergenic	2	NR	4E-7	6.397940008672037	(migraineurs with aura - major CVD)	   3.05	[1.98-4.96] 	Illumina [339,596]	N
08/15/2011	21779381	Schurks M	07/14/2011	PLoS One	http://www.ncbi.nlm.nih.gov/pubmed/21779381	Genetic determinants of cardiovascular events among women with migraine: a genome-wide association study.	Cardiovascular disease risk factors	5,122 European ancestry women migraineurs	NR	5p15.33	5	1877280	IRX4	IRX4			50805			rs4975709-?	rs4975709	0	4975709	nearGene-3	1	NR	8E-7	6.096910013008056	(migraineurs with aura - ischemic stroke)	   5.06	[2.66-9.62] 	Illumina [339,596]	N
08/15/2011	21779381	Schurks M	07/14/2011	PLoS One	http://www.ncbi.nlm.nih.gov/pubmed/21779381	Genetic determinants of cardiovascular events among women with migraine: a genome-wide association study.	Cardiovascular disease risk factors	5,122 European ancestry women migraineurs	NR	4q22.1	4	88755828	MEPE	MEPE			56955			rs7698623-?	rs7698623	0	7698623	intron	1	NR	3E-7	6.522878745280337	(migraineurs with aura - ischemic stroke)	   6.37	[3.15-12.90] 	Illumina [339,596]	N
08/15/2011	21779381	Schurks M	07/14/2011	PLoS One	http://www.ncbi.nlm.nih.gov/pubmed/21779381	Genetic determinants of cardiovascular events among women with migraine: a genome-wide association study.	Cardiovascular disease risk factors	5,122 European ancestry women migraineurs	NR	11q23.3	11	117156893	BACE1	BACE1;RNF214			23621;257160			rs1047964-?	rs1047964	0	1047964	UTR-3;nearGene-3	1	NR	8E-7	6.096910013008056	(any migraine - CVD death)	   4.67	[2.53-8.62] 	Illumina [339,596]	N
08/15/2011	21779176	Winkelmann J	07/14/2011	PLoS Genet	http://www.ncbi.nlm.nih.gov/pubmed/21779176	Genome-wide association study identifies novel restless legs syndrome susceptibility loci on 2p14 and 16q12.1.	Restless legs syndrome	922 European ancestry cases, 1,526 European ancestry controls	3,935 European ancestry cases, 5,754 European ancestry controls	6p21.2	6	38365873	BTBD9	BTBD9			114781			rs9357271-T	rs9357271	0	9357271	intron	1	0.76	8E-22	21.09691001300805		   1.47	[1.35-1.47] 	Affymetrix [301,406]	N
08/15/2011	21779176	Winkelmann J	07/14/2011	PLoS Genet	http://www.ncbi.nlm.nih.gov/pubmed/21779176	Genome-wide association study identifies novel restless legs syndrome susceptibility loci on 2p14 and 16q12.1.	Restless legs syndrome	922 European ancestry cases, 1,526 European ancestry controls	3,935 European ancestry cases, 5,754 European ancestry controls	9p24.1	9	8846955	PTPRD	PTPRD			5789			rs1975197-A	rs1975197	0	1975197	intron	1	0.16	3E-10	9.522878745280336		   1.29	[1.19-1.40] 	Affymetrix [301,406]	N
08/15/2011	21779176	Winkelmann J	07/14/2011	PLoS Genet	http://www.ncbi.nlm.nih.gov/pubmed/21779176	Genome-wide association study identifies novel restless legs syndrome susceptibility loci on 2p14 and 16q12.1.	Restless legs syndrome	922 European ancestry cases, 1,526 European ancestry controls	3,935 European ancestry cases, 5,754 European ancestry controls	15q23	15	68036852	MAP2K5, SKOR1	MAP2K5			5607			rs12593813-G	rs12593813	0	12593813	intron	1	0.68	1E-22	22		   1.41	[1.32-1.52] 	Affymetrix [301,406]	N
08/15/2011	21779176	Winkelmann J	07/14/2011	PLoS Genet	http://www.ncbi.nlm.nih.gov/pubmed/21779176	Genome-wide association study identifies novel restless legs syndrome susceptibility loci on 2p14 and 16q12.1.	Restless legs syndrome	922 European ancestry cases, 1,526 European ancestry controls	3,935 European ancestry cases, 5,754 European ancestry controls	2p14	2	68070225	Intergenic	ETAA1 - C1D	54465	10438		      432.69	      199.11	rs6747972-A	rs6747972	0	6747972	Intergenic	2	0.44	9E-11	10.04575749056067		   1.23	[1.16-1.31] 	Affymetrix [301,406]	N
08/15/2011	21779176	Winkelmann J	07/14/2011	PLoS Genet	http://www.ncbi.nlm.nih.gov/pubmed/21779176	Genome-wide association study identifies novel restless legs syndrome susceptibility loci on 2p14 and 16q12.1.	Restless legs syndrome	922 European ancestry cases, 1,526 European ancestry controls	3,935 European ancestry cases, 5,754 European ancestry controls	16q12.2	16	52624738	TOX3, BC034767	TOX3 - CHD9	27324	80205		       43.93	      464.21	rs3104767-G	rs3104767	0	3104767	Intergenic	2	0.58	9E-19	18.04575749056067		   1.35	[1.27-1.43] 	Affymetrix [301,406]	N
08/15/2011	21779176	Winkelmann J	07/14/2011	PLoS Genet	http://www.ncbi.nlm.nih.gov/pubmed/21779176	Genome-wide association study identifies novel restless legs syndrome susceptibility loci on 2p14 and 16q12.1.	Restless legs syndrome	922 European ancestry cases, 1,526 European ancestry controls	3,935 European ancestry cases, 5,754 European ancestry controls	2p14	2	66781453	MEIS1	MEIS1			4211			rs2300478-G	rs2300478	0	2300478	intron	1	0.24	3E-49	48.52287874528034		   1.68	[1.57-1.81] 	Affymetrix [301,406]	N
08/12/2011	21784300	Mick E	07/13/2011	J Am Acad Child Adolesc Psychiatry	http://www.ncbi.nlm.nih.gov/pubmed/21784300	Genome-wide association study of the child behavior checklist dysregulation profile.	Attention deficit hyperactivity disorder	341 ADHD offspring from 339 trios	NR	11q13.1	11	63979643	FERMT3	FERMT3			83706			rs12575642-?	rs12575642	0	12575642	intron	1	NR	1E-6	5.999999999999999		NR	NR	Illumina [835,136]	N
08/12/2011	21784300	Mick E	07/13/2011	J Am Acad Child Adolesc Psychiatry	http://www.ncbi.nlm.nih.gov/pubmed/21784300	Genome-wide association study of the child behavior checklist dysregulation profile.	Attention deficit hyperactivity disorder	341 ADHD offspring from 339 trios	NR	11q13.1	11	63963947	STIP1	STIP1			10963			rs11607165-?	rs11607165	0	11607165	intron	1	NR	4E-6	5.397940008672037		NR	NR	Illumina [835,136]	N
08/12/2011	21784300	Mick E	07/13/2011	J Am Acad Child Adolesc Psychiatry	http://www.ncbi.nlm.nih.gov/pubmed/21784300	Genome-wide association study of the child behavior checklist dysregulation profile.	Attention deficit hyperactivity disorder	341 ADHD offspring from 339 trios	NR	8q11.21	8	49053165	Intergenic	UBE2V2 - RPL29P19	7336	389655		       78.71	      243.93	rs11778329-?	rs11778329	0	11778329	Intergenic	2	NR	7E-6	5.154901959985742		NR	NR	Illumina [835,136]	N
08/12/2011	21784300	Mick E	07/13/2011	J Am Acad Child Adolesc Psychiatry	http://www.ncbi.nlm.nih.gov/pubmed/21784300	Genome-wide association study of the child behavior checklist dysregulation profile.	Attention deficit hyperactivity disorder	341 ADHD offspring from 339 trios	NR	7q21.11	7	83609039	SEMA3A	SEMA3A			10371			rs797820-?	rs797820	0	797820	intron	1	NR	8E-6	5.096910013008055		NR	NR	Illumina [835,136]	N
08/12/2011	21784300	Mick E	07/13/2011	J Am Acad Child Adolesc Psychiatry	http://www.ncbi.nlm.nih.gov/pubmed/21784300	Genome-wide association study of the child behavior checklist dysregulation profile.	Attention deficit hyperactivity disorder	341 ADHD offspring from 339 trios	NR	11q13.1	11	63991801	TRPT1	PLCB3;FERMT3;TRPT1;NUDT22			5331;83706;83707;84304			rs1059440-?	rs1059440	0	1059440	missense;nearGene-3;nearGene-5;nearGene-5	1	NR	4E-6	5.397940008672037		NR	NR	Illumina [835,136]	N
08/12/2011	21784300	Mick E	07/13/2011	J Am Acad Child Adolesc Psychiatry	http://www.ncbi.nlm.nih.gov/pubmed/21784300	Genome-wide association study of the child behavior checklist dysregulation profile.	Attention deficit hyperactivity disorder	341 ADHD offspring from 339 trios	NR	1p31.1	1	70355981	LRRC7	LRRC7;AGBL3			57554;340351			rs12037173-?	rs12037173	0	12037173	intron;intron	1	NR	4E-6	5.397940008672037		NR	NR	Illumina [835,136]	N
08/12/2011	21784300	Mick E	07/13/2011	J Am Acad Child Adolesc Psychiatry	http://www.ncbi.nlm.nih.gov/pubmed/21784300	Genome-wide association study of the child behavior checklist dysregulation profile.	Attention deficit hyperactivity disorder	341 ADHD offspring from 339 trios	NR	9q34.3	9	138275776	Intergenic	C9orf62 - KIAA0649	157927	9858		       39.52	       95.87	rs10858396-?	rs10858396	0	10858396	Intergenic	2	NR	6E-6	5.221848749616356		NR	NR	Illumina [835,136]	N
08/04/2011	21752600	Chen J	07/12/2011	Schizophr Res	http://www.ncbi.nlm.nih.gov/pubmed/21752600	Two non-synonymous markers in PTPN21, identified by genome-wide association study data-mining and replication, are associated with schizophrenia.	Schizophrenia	1,658 European ancestry cases, 1,655 European ancestry controls	5,203 European ancestry cases, 5,277 European ancestry controls, 1,875 Irish individuals, 1,142 African American cases, 985 African American controls	NR			NR	 - 						NR	NR					NR	NS		NS	NR	NR	Affymetrix & Perlgen [up to 727,905]	N
08/05/2011	21750111	Mbarek H	07/12/2011	Hum Mol Genet	http://www.ncbi.nlm.nih.gov/pubmed/21750111	A genome-wide association study of chronic hepatitis B identified novel risk locus in a Japanese population.	Hepatitis B	458 Japanese cases, 2,056 Japanese controls	2,209 Japanese cases, 4,440 Japanese controls	6p21.32	6	33054861	HLA-DPB1	HLA-DPB1			3115;100510212			rs9277535-G	rs9277535	0	9277535	UTR-3;UTR-3	1	0.57	3E-54	53.52287874528033		   1.77	[1.65-1.91] 	Illumina [423,627]	N
08/05/2011	21750111	Mbarek H	07/12/2011	Hum Mol Genet	http://www.ncbi.nlm.nih.gov/pubmed/21750111	A genome-wide association study of chronic hepatitis B identified novel risk locus in a Japanese population.	Hepatitis B	458 Japanese cases, 2,056 Japanese controls	2,209 Japanese cases, 4,440 Japanese controls	6p21.32	6	33033022	HLA-DPA1	HLA-DPA1			3113			rs3077-G	rs3077	0	3077	UTR-3	1	0.60	2E-61	60.69897000433602		   1.87	[1.73-2.01] 	Illumina [423,627]	N
08/05/2011	21750111	Mbarek H	07/12/2011	Hum Mol Genet	http://www.ncbi.nlm.nih.gov/pubmed/21750111	A genome-wide association study of chronic hepatitis B identified novel risk locus in a Japanese population.	Hepatitis B	458 Japanese cases, 2,056 Japanese controls	2,209 Japanese cases, 4,440 Japanese controls	6p21.32	6	32730012	HAL-DQB2	HLA-DQB2			3120			rs7453920-G	rs7453920	0	7453920	intron	1	0.83	6E-28	27.22184874961636		   1.81	[1.62-2.01] 	Illumina [423,627]	N
08/05/2011	21750111	Mbarek H	07/12/2011	Hum Mol Genet	http://www.ncbi.nlm.nih.gov/pubmed/21750111	A genome-wide association study of chronic hepatitis B identified novel risk locus in a Japanese population.	Hepatitis B	458 Japanese cases, 2,056 Japanese controls	2,209 Japanese cases, 4,440 Japanese controls	6p21.32	6	32670255	HLA-DQB1	HLA-DQB1 - HLA-DQA2	3119	3118		       35.79	       38.91	rs2856718-A	rs2856718	0	2856718	Intergenic	2	0.48	4E-37	36.39794000867203		   1.56	[1.45-1.67] 	Illumina [423,627]	N
08/05/2011	21750109	Rafnar T	07/12/2011	Hum Mol Genet	http://www.ncbi.nlm.nih.gov/pubmed/21750109	European genome-wide association study identifies SLC14A1 as a new urinary bladder cancer susceptibility gene.	Bladder cancer	2,234 European ancestry cases, 41,603 European ancestry controls	3,371 European ancestry cases, 10,261 European ancestry controls, 269 Iranian cases, 246 Iranian controls	18q12.3	18	43309911	SLC14A1	SLC14A1			6563			rs17674580-T	rs17674580	0	17674580	intron	1	0.33	8E-11	10.09691001300805		   1.17	[1.11-1.22] 	Illumina [5,340,737] (imputed)	N
08/17/2011	21747397	Rietschel M	07/12/2011	Mol Psychiatry	http://www.ncbi.nlm.nih.gov/pubmed/21747397	Association between genetic variation in a region on chromosome 11 and schizophrenia in large samples from Europe.	Schizophrenia	1,169 European ancestry cases. 3,714 European ancestry controls	7,303 European ancestry cases, 26,274 European ancestry controls	NR			NR	 - 						NR	NR					NR	NS		NS	NR	NR	Illumina [475,427]	N
07/30/2011	21743469	Evans DM	07/10/2011	Nat Genet	http://www.ncbi.nlm.nih.gov/pubmed/21743469	Interaction between ERAP1 and HLA-B27 in ankylosing spondylitis implicates peptide handling in the mechanism for HLA-B27 in disease susceptibility.	Ankylosing spondylitis	3,023 European ancestry cases, 8,779 European ancestry controls	2,111 European ancestry cases, 4,483 European ancestry controls	17q21.32	17	45768836	TBKBP1	KPNB1 - TBKBP1	3837	9755		        7.83	        3.79	rs8070463-C	rs8070463	0	8070463	Intergenic	2	0.51	5E-8	7.30102999566398		NR	NR	Illumina [2,223,620] (imputed)	N
07/30/2011	21743469	Evans DM	07/10/2011	Nat Genet	http://www.ncbi.nlm.nih.gov/pubmed/21743469	Interaction between ERAP1 and HLA-B27 in ankylosing spondylitis implicates peptide handling in the mechanism for HLA-B27 in disease susceptibility.	Ankylosing spondylitis	3,023 European ancestry cases, 8,779 European ancestry controls	2,111 European ancestry cases, 4,483 European ancestry controls	5p13.1	5	40490790	PTGER4	DAB2 - PTGER4	1601	5734		     1065.46	      189.24	rs10440635-A	rs10440635	0	10440635	Intergenic	2	0.60	3E-7	6.522878745280337		NR	NR	Illumina [2,223,620] (imputed)	N
07/30/2011	21743469	Evans DM	07/10/2011	Nat Genet	http://www.ncbi.nlm.nih.gov/pubmed/21743469	Interaction between ERAP1 and HLA-B27 in ankylosing spondylitis implicates peptide handling in the mechanism for HLA-B27 in disease susceptibility.	Ankylosing spondylitis	3,023 European ancestry cases, 8,779 European ancestry controls	2,111 European ancestry cases, 4,483 European ancestry controls	4q21.21	4	80946475	ANTXR2	ANTXR2			118429			rs4389526-A	rs4389526	0	4389526	intron	1	0.63	9E-8	7.045757490560674		NR	NR	Illumina [2,223,620] (imputed)	N
07/30/2011	21743469	Evans DM	07/10/2011	Nat Genet	http://www.ncbi.nlm.nih.gov/pubmed/21743469	Interaction between ERAP1 and HLA-B27 in ankylosing spondylitis implicates peptide handling in the mechanism for HLA-B27 in disease susceptibility.	Ankylosing spondylitis	3,023 European ancestry cases, 8,779 European ancestry controls	2,111 European ancestry cases, 4,483 European ancestry controls	12p13.31	12	6502742	LTBR-TNFRSF1A	LTBR - RPL31P10	4055	390283		        2.01	       16.02	rs11616188-A	rs11616188	0	11616188	Intergenic	2	0.43	4E-12	11.39794000867204		NR	NR	Illumina [2,223,620] (imputed)	N
07/30/2011	21743469	Evans DM	07/10/2011	Nat Genet	http://www.ncbi.nlm.nih.gov/pubmed/21743469	Interaction between ERAP1 and HLA-B27 in ankylosing spondylitis implicates peptide handling in the mechanism for HLA-B27 in disease susceptibility.	Ankylosing spondylitis	3,023 European ancestry cases, 8,779 European ancestry controls	2,111 European ancestry cases, 4,483 European ancestry controls	5q33.3	5	158818745	IL12B	IL12B - ADRA1B	3593	147		       61.26	      525.00	rs6556416-C	rs6556416	0	6556416	Intergenic	2	0.67	2E-8	7.698970004336018		NR	NR	Illumina [2,223,620] (imputed)	N
07/30/2011	21743469	Evans DM	07/10/2011	Nat Genet	http://www.ncbi.nlm.nih.gov/pubmed/21743469	Interaction between ERAP1 and HLA-B27 in ankylosing spondylitis implicates peptide handling in the mechanism for HLA-B27 in disease susceptibility.	Ankylosing spondylitis	3,023 European ancestry cases, 8,779 European ancestry controls	2,111 European ancestry cases, 4,483 European ancestry controls	1p36.11	1	25297184	RUNX3	RUNX3 - SYF2	864	25949		        5.68	      251.58	rs11249215-A	rs11249215	0	11249215	Intergenic	2	0.47	9E-11	10.04575749056067		NR	NR	Illumina [2,223,620] (imputed)	N
07/30/2011	21743469	Evans DM	07/10/2011	Nat Genet	http://www.ncbi.nlm.nih.gov/pubmed/21743469	Interaction between ERAP1 and HLA-B27 in ankylosing spondylitis implicates peptide handling in the mechanism for HLA-B27 in disease susceptibility.	Ankylosing spondylitis	3,023 European ancestry cases, 8,779 European ancestry controls	2,111 European ancestry cases, 4,483 European ancestry controls	21q22.2	21	40469520	Intergenic	FLJ45139 - RPL23AP12	400867	391282		      218.68	       29.96	rs378108-G	rs378108	0	378108	Intergenic	2	0.48	2E-11	10.69897000433602		NR	NR	Illumina [2,223,620] (imputed)	N
07/30/2011	21743469	Evans DM	07/10/2011	Nat Genet	http://www.ncbi.nlm.nih.gov/pubmed/21743469	Interaction between ERAP1 and HLA-B27 in ankylosing spondylitis implicates peptide handling in the mechanism for HLA-B27 in disease susceptibility.	Ankylosing spondylitis	3,023 European ancestry cases, 8,779 European ancestry controls	2,111 European ancestry cases, 4,483 European ancestry controls	5q15	5	96124330	ERAP1	ERAP1			51752			rs30187-T	rs30187	0	30187	missense	1	0.33	2E-27	26.69897000433602		NR	NR	Illumina [2,223,620] (imputed)	N
07/30/2011	21743469	Evans DM	07/10/2011	Nat Genet	http://www.ncbi.nlm.nih.gov/pubmed/21743469	Interaction between ERAP1 and HLA-B27 in ankylosing spondylitis implicates peptide handling in the mechanism for HLA-B27 in disease susceptibility.	Ankylosing spondylitis	3,023 European ancestry cases, 8,779 European ancestry controls	2,111 European ancestry cases, 4,483 European ancestry controls	2p15	2	62551472	Intergenic	B3GNT2 - TMEM17	10678	200728		       99.61	      175.88	rs10865331-A	rs10865331	0	10865331	Intergenic	2	0.37	7E-34	33.15490195998574		NR	NR	Illumina [2,223,620] (imputed)	N
07/30/2011	21743469	Evans DM	07/10/2011	Nat Genet	http://www.ncbi.nlm.nih.gov/pubmed/21743469	Interaction between ERAP1 and HLA-B27 in ankylosing spondylitis implicates peptide handling in the mechanism for HLA-B27 in disease susceptibility.	Ankylosing spondylitis	3,023 European ancestry cases, 8,779 European ancestry controls	2,111 European ancestry cases, 4,483 European ancestry controls	6p21.33	6	31365787	HLA-B	HLA-S - MICA	267015	4276		       15.52	        5.58	rs4349859-A	rs4349859	0	4349859	Intergenic	2	0.04	1E-200	200	(less than)	NR	NR	Illumina [2,223,620] (imputed)	N
07/30/2011	21743469	Evans DM	07/10/2011	Nat Genet	http://www.ncbi.nlm.nih.gov/pubmed/21743469	Interaction between ERAP1 and HLA-B27 in ankylosing spondylitis implicates peptide handling in the mechanism for HLA-B27 in disease susceptibility.	Ankylosing spondylitis	3,023 European ancestry cases, 8,779 European ancestry controls	2,111 European ancestry cases, 4,483 European ancestry controls	9q34.3	9	139269338	CARD9	CARD9			64170			rs10781500-T	rs10781500	0	10781500	nearGene-5	1	0.42	1E-6	5.999999999999999		NR	NR	Illumina [2,223,620] (imputed)	N
07/30/2011	21743469	Evans DM	07/10/2011	Nat Genet	http://www.ncbi.nlm.nih.gov/pubmed/21743469	Interaction between ERAP1 and HLA-B27 in ankylosing spondylitis implicates peptide handling in the mechanism for HLA-B27 in disease susceptibility.	Ankylosing spondylitis	3,023 European ancestry cases, 8,779 European ancestry controls	2,111 European ancestry cases, 4,483 European ancestry controls	1p31.3	1	67705958	IL23R	IL23R			149233			rs11209026-G	rs11209026	0	11209026	missense	1	0.93	2E-17	16.69897000433602		NR	NR	Illumina [2,223,620] (imputed)	N
07/30/2011	21743469	Evans DM	07/10/2011	Nat Genet	http://www.ncbi.nlm.nih.gov/pubmed/21743469	Interaction between ERAP1 and HLA-B27 in ankylosing spondylitis implicates peptide handling in the mechanism for HLA-B27 in disease susceptibility.	Ankylosing spondylitis	3,023 European ancestry cases, 8,779 European ancestry controls	2,111 European ancestry cases, 4,483 European ancestry controls	1q32.1	1	200960307	KIF21B	KIF21B			23046			rs2297909-G	rs2297909	0	2297909	intron	1	0.68	5E-12	11.30102999566398		NR	NR	Illumina [2,223,620] (imputed)	N
08/22/2011	21743467	Kote-Jarai Z	07/10/2011	Nat Genet	http://www.ncbi.nlm.nih.gov/pubmed/21743467	Seven prostate cancer susceptibility loci identified by a multi-stage genome-wide association study.	Prostate cancer	6,621 European ancestry cases, 6,939 European ancestry controls	22,957 European ancestry cases, 23,234 European ancestry controls, 285 Japanese cases, 298 Japanese controls, 135 Chinese cases, 135 Chinese controls, 112 African American cases, 298 African American controls, 7,140 cases, 5,455 controls	6p21.33	6	31118511	CCHCR1	CCHCR1			54535			rs130067-G	rs130067	0	130067	missense	1	0.21	3E-8	7.522878745280337		   1.05	[1.02-1.09] 	NR [2.6 million] (imputed)	N
08/22/2011	21743467	Kote-Jarai Z	07/10/2011	Nat Genet	http://www.ncbi.nlm.nih.gov/pubmed/21743467	Seven prostate cancer susceptibility loci identified by a multi-stage genome-wide association study.	Prostate cancer	6,621 European ancestry cases, 6,939 European ancestry controls	22,957 European ancestry cases, 23,234 European ancestry controls, 285 Japanese cases, 298 Japanese controls, 135 Chinese cases, 135 Chinese controls, 112 African American cases, 298 African American controls, 7,140 cases, 5,455 controls	5p12	5	44365545	FGF10	FGF10			2255			rs2121875-G	rs2121875	0	2121875	intron	1	0.34	4E-8	7.397940008672037		   1.05	[1.02-1.08] 	NR [2.6 million] (imputed)	N
08/22/2011	21743467	Kote-Jarai Z	07/10/2011	Nat Genet	http://www.ncbi.nlm.nih.gov/pubmed/21743467	Seven prostate cancer susceptibility loci identified by a multi-stage genome-wide association study.	Prostate cancer	6,621 European ancestry cases, 6,939 European ancestry controls	22,957 European ancestry cases, 23,234 European ancestry controls, 285 Japanese cases, 298 Japanese controls, 135 Chinese cases, 135 Chinese controls, 112 African American cases, 298 African American controls, 7,140 cases, 5,455 controls	3q26.2	3	170130102	CLDN11, SKIL	SKIL - CLDN11	6498	5010		       19.15	        6.55	rs10936632-A	rs10936632	0	10936632	Intergenic	2	0.52	7E-22	21.15490195998574		   1.11	[1.08-1.14] 	NR [2.6 million] (imputed)	N
08/22/2011	21743467	Kote-Jarai Z	07/10/2011	Nat Genet	http://www.ncbi.nlm.nih.gov/pubmed/21743467	Seven prostate cancer susceptibility loci identified by a multi-stage genome-wide association study.	Prostate cancer	6,621 European ancestry cases, 6,939 European ancestry controls	22,957 European ancestry cases, 23,234 European ancestry controls, 285 Japanese cases, 298 Japanese controls, 135 Chinese cases, 135 Chinese controls, 112 African American cases, 298 African American controls, 7,140 cases, 5,455 controls	12q13.12	12	49676010	PRPH	TUBA1C - PRPH	84790	5630		        8.90	       12.90	rs10875943-C	rs10875943	0	10875943	Intergenic	2	0.31	7E-12	11.15490195998574		   1.07	[1.04-1.10] 	NR [2.6 million] (imputed)	N
08/22/2011	21743467	Kote-Jarai Z	07/10/2011	Nat Genet	http://www.ncbi.nlm.nih.gov/pubmed/21743467	Seven prostate cancer susceptibility loci identified by a multi-stage genome-wide association study.	Prostate cancer	6,621 European ancestry cases, 6,939 European ancestry controls	22,957 European ancestry cases, 23,234 European ancestry controls, 285 Japanese cases, 298 Japanese controls, 135 Chinese cases, 135 Chinese controls, 112 African American cases, 298 African American controls, 7,140 cases, 5,455 controls	2p11.2	2	85794297	GGCX, VAMP8, VAMP5, RNF181	GGCX - VAMP8	2677	8673		        5.64	       10.35	rs10187424-A	rs10187424	0	10187424	Intergenic	2	0.59	3E-15	14.52287874528034		   1.09	[1.06-1.12] 	NR [2.6 million] (imputed)	N
08/22/2011	21743467	Kote-Jarai Z	07/10/2011	Nat Genet	http://www.ncbi.nlm.nih.gov/pubmed/21743467	Seven prostate cancer susceptibility loci identified by a multi-stage genome-wide association study.	Prostate cancer	6,621 European ancestry cases, 6,939 European ancestry controls	22,957 European ancestry cases, 23,234 European ancestry controls, 285 Japanese cases, 298 Japanese controls, 135 Chinese cases, 135 Chinese controls, 112 African American cases, 298 African American controls, 7,140 cases, 5,455 controls	5p15.33	5	1280028	TERT	TERT			7015			rs2242652-G	rs2242652	0	2242652	intron	1	0.81	3E-24	23.52287874528033		   1.15	[1.11-1.19] 	NR [2.6 million] (imputed)	N
08/22/2011	21743467	Kote-Jarai Z	07/10/2011	Nat Genet	http://www.ncbi.nlm.nih.gov/pubmed/21743467	Seven prostate cancer susceptibility loci identified by a multi-stage genome-wide association study.	Prostate cancer	6,621 European ancestry cases, 6,939 European ancestry controls	22,957 European ancestry cases, 23,234 European ancestry controls, 285 Japanese cases, 298 Japanese controls, 135 Chinese cases, 135 Chinese controls, 112 African American cases, 298 African American controls, 7,140 cases, 5,455 controls	3q23	3	141102833	ZBTB38	ZBTB38			253461			rs6763931-T	rs6763931	0	6763931	intron	1	0.45	2E-8	7.698970004336018		   1.04	[1.01-1.07] 	NR [2.6 million] (imputed)	N
